ID sample_1 sample_2 value_1 value_2 q_value
ACTR2 C E 136.672 102.157 0.00112625
ACTR3 C E 72.1976 51.5785 0.000259295
ACTR3B C E 9.11368 9.06717 0.974262
ACTR3BP2 C E 0 0 1
ACTR3BP5 C E 0 0 1
ACTR3C C E 4.85927 2.97543 0.360586
ACTR5 C E 7.95535 8.13595 0.888301
ACTR6 C E 16.6046 19.5021 0.194725
ACTR8 C E 8.99998 9.90034 0.459506
ACTRT1 C E 0 0 1
ACTRT2 C E 0 0 1
ACTRT3 C E 5.2222 4.50447 0.328859
ACVR1 C E 5.6651 9.65934 0.000259295
ACVR1B C E 9.75689 11.1138 0.268055
ACVR1C C E 0 0.025583 1
ACVR2A C E 1.41117 2.00337 0.222692
ACVR2B C E 0.966722 1.60783 0.000259295
ACVR2B-AS1 C E 0.201372 0.391887 1
ACVRL1 C E 0.370103 0.0955863 1
ACY1 C E 17.8741 14.6067 0.187641
ACY3 C E 0.04285 0.0768461 1
ACYP1 C E 8.19576 8.41647 0.913859
ACYP2 C E 5.62493 8.62715 0.00352336
ADA C E 33.942 16.7226 0.000259295
ADAD1 C E 0 0 1
ADAD2 C E 0 0 1
ADAL C E 6.21483 8.21265 0.149758
ADAM10 C E 32.3249 30.4378 0.609839
ADAM11 C E 0.373336 0.547564 1
ADAM12 C E 28.1761 25.07 0.295217
ADAM15 C E 97.3785 95.5703 0.884581
ADAM17 C E 21.6715 31.829 0.000259295
ADAM18 C E 0 0 1
ADAM19 C E 10.6673 11.2674 0.66594
ADAM1A C E 0.888227 0.919844 0.886916
ADAM2 C E 0 0 1
ADAM20 C E 0.0163285 0.00722081 1
ADAM20P1 C E 0.0275428 0.0330978 1
ADAM21 C E 0.467787 0.2932 1
ADAM21P1 C E 0.0238498 0.0206136 1
ADAM22 C E 2.22936 3.51548 0.00316968
ADAM23 C E 0.0477803 0.00684982 1
ADAM28 C E 0 0 1
ADAM29 C E 0 0 1
ADAM30 C E 0 0 1
ADAM32 C E 0.00838351 0.0363654 1
ADAM33 C E 0.0488939 0.00523208 1
ADAM3A C E 0 0 1
ADAM5 C E 0 0 1
ADAM6 C E 0 0 1
ADAM7 C E 0 0 1
ADAM8 C E 0.342398 0.708047 0.00132463
ADAM9 C E 74.565 65.2032 0.188491
ADAMDEC1 C E 0 0 1
ADAMTS1 C E 2.92499 2.35988 0.103184
ADAMTS10 C E 0.715467 1.19204 0.00519927
ADAMTS12 C E 0 0.0115765 1
ADAMTS13 C E 0.368593 0.644049 0.665596
ADAMTS14 C E 0.107612 0.471887 1
ADAMTS15 C E 5.11525 3.47575 0.000920449
ADAMTS16 C E 3.90107 1.48584 0.000259295
ADAMTS17 C E 0 0.0067294 1
ADAMTS18 C E 0.0345725 0.0389341 1
ADAMTS19 C E 0 0 1
ADAMTS19-AS1 C E 0 0 1
ADAMTS2 C E 0 0 1
ADAMTS20 C E 0 0 1
ADAMTS3 C E 0 0 1
ADAMTS4 C E 0.0541997 0.0358225 1
ADAMTS5 C E 0 0.00866856 1
ADAMTS6 C E 0.427234 0.145213 1
ADAMTS7 C E 0.767988 0.916522 0.30832
ADAMTS7P1 C E 0 0 1
ADAMTS8 C E 0.0109026 0 1
ADAMTS9 C E 0.0373447 0.0351677 1
ADAMTS9-AS1 C E 0 0 1
ADAMTS9-AS2 C E 0 0 1
ADAMTSL1 C E 0 0.0022073 1
ADAMTSL2 C E 0.0821449 0.0888084 1
ADAMTSL3 C E 0 0.00255936 1
ADAMTSL4 C E 4.90351 3.10233 0.430377
ADAMTSL4-AS1 C E 0.057043 0.077914 1
ADAMTSL5 C E 2.98663 3.44862 0.340982
ADAP1 C E 2.19307 2.81315 0.117691
ADAP2 C E 0.146214 0.793047 0.000259295
ADAR C E 88.4288 79.8151 0.321798
ADARB1 C E 22.2438 24.0911 0.525664
ADARB2 C E 0 0 1
ADARB2-AS1 C E 0 0 1
ADAT1 C E 8.48756 9.65313 0.290394
ADAT2 C E 1.26039 1.26672 0.979017
ADAT3 C E 5.95196 2.54657 0.0454563
ADCK1 C E 5.94747 7.64193 0.0481324
ADCK2 C E 7.80567 15.6973 0.000259295
ADCK3 C E 11.7736 11.5627 0.904674
ADCK4 C E 8.61765 5.16001 0.000259295
ADCK5 C E 4.42074 6.82229 0.237948
ADCY1 C E 0.00174223 0 1
ADCY10 C E 0.0121799 0 1
ADCY10P1 C E 0.0540774 0.0402928 1
ADCY2 C E 0 0.00532485 1
ADCY3 C E 16.5233 16.845 0.92058
ADCY4 C E 0 0 1
ADCY5 C E 0.0406556 0.107682 1
ADCY6 C E 20.8455 29.2653 0.000489787
ADCY7 C E 10.8178 7.23127 0.000259295
ADCY8 C E 0 0 1
ADCY9 C E 5.59327 7.33235 0.010248
ADCYAP1 C E 0 0 1
ADCYAP1R1 C E 0 0 1
ADD1 C E 32.0071 33.0365 0.807339
ADD2 C E 0 0 1
ADD3 C E 16.3155 12.923 0.0263536
ADD3-AS1 C E 0.0803398 0.01701 1
ADGB C E 0.00367289 0 1
ADGRA1 C E 0 0 1
ADGRA1-AS1 C E 0 0 1
ADGRA2 C E 0.905999 1.34105 0.069119
ADGRA3 C E 10.3596 14.4096 0.000489787
ADGRB1 C E 0.0839205 0.0581747 1
ADGRB2 C E 12.6475 11.552 0.446329
ADGRB3 C E 0 0 1
ADGRD1 C E 0.00399613 0.011515 1
ADGRE1 C E 4.64947 4.50819 0.855403
ADGRE2 C E 2.54809 2.08542 0.161389
ADGRE3 C E 0 0 1
ADGRE4P C E 0 0 1
ADGRE5 C E 30.2495 28.1245 0.554075
ADGRF1 C E 0 0 1
ADGRF2 C E 0 0.00420506 1
ADGRF3 C E 0.0881748 0.104542 1
ADGRF4 C E 0.84363 0.188262 0.000259295
ADGRF5 C E 0 0 1
ADGRG1 C E 32.3452 12.9941 0.000259295
ADGRG2 C E 0.806054 1.20575 0.00631094
ADGRG3 C E 0.0816017 0.02463 1
ADGRG4 C E 0.00410873 0.00210683 1
ADGRG5 C E 0.0824653 0.012466 1
ADGRG6 C E 0.149448 0.334022 1
ADGRG7 C E 0 0 1
ADGRL1 C E 7.86956 3.28251 0.000259295
ADGRL2 C E 0.358721 0.776267 0.000259295
ADGRL3 C E 0 0 1
ADGRL3-AS1 C E 0 0 1
ADGRL4 C E 0.288503 0 1
ADGRV1 C E 0.0313131 0.0109415 1
ADH1A C E 0 0.0138876 1
ADH1B C E 0 0 1
ADH1C C E 0 0 1
ADH4 C E 0 0 1
ADH5 C E 62.0575 49.3878 0.0207576
ADH6 C E 0 0 1
ADH7 C E 0 0 1
ADHFE1 C E 0.0862532 0.747759 0.0255274
ADI1 C E 67.6774 82.2098 0.0588544
ADIG C E 0 0 1
ADIPOQ C E 0 0 1
ADIPOQ-AS1 C E 0 0 1
ADIPOR1 C E 74.8964 102.127 0.00152207
ADIPOR2 C E 48.6045 57.2487 0.0986144
ADIRF C E 1.38529 1.14048 0.701947
ADK C E 55.7043 46.1974 0.071525
ADM C E 106.941 50.1094 0.000259295
ADM2 C E 1.56689 9.93391 0.000259295
ADM5 C E 0.509196 0.528853 1
ADNP C E 36.2094 25.3977 0.000920449
ADNP-AS1 C E 1.40637 1.59556 0.944636
ADNP2 C E 13.4417 12.9425 0.770635
ADO C E 22.6403 29.4235 0.0111028
ADORA1 C E 0.767832 0.197744 0.000259295
ADORA2A C E 0.311464 0.63751 0.498926
ADORA2A-AS1 C E 0.0404595 0.251894 1
ADORA2B C E 15.3429 18.4691 0.120919
ADORA3 C E 0 0.0114824 1
ADPGK C E 54.3753 71.4263 0.00567371
ADPGK-AS1 C E 0.115734 0.172814 1
ADPRH C E 0.705274 1.17249 0.00281634
ADPRHL1 C E 3.10976 4.71267 0.00386632
ADPRHL2 C E 24.2098 21.1107 0.258001
ADPRM C E 2.37978 4.60464 0.000259295
ADRA1A C E 0 0 1
ADRA1B C E 0.994985 1.73849 0.00281634
ADRA1D C E 0 0.0085796 1
ADRA2A C E 0 0 1
ADRA2B C E 0.0979226 0.0577423 1
ADRA2C C E 0.847291 1.4196 0.0145946
ADRB1 C E 0.353178 0.428397 1
ADRB2 C E 2.12093 3.09046 0.0167567
ADRB3 C E 0 0 1
ADRBK1 C E 36.0346 44.2751 0.0426541
ADRBK2 C E 1.28056 1.50252 0.236726
ADRM1 C E 177.683 167.253 0.602813
ADSL C E 128.311 108.721 0.107386
ADSS C E 32.892 24.8242 0.00487393
ADSSL1 C E 8.52449 4.66565 0.000259295
ADTRP C E 1.00227 1.75809 0.00693609
AEBP1 C E 0.0102102 0.00914398 1
AEBP2 C E 14.4925 12.3669 0.151904
AEN C E 20.2333 18.1664 0.370424
AES C E 216.219 144.426 0.000259295
AFAP1 C E 36.463 27.7614 0.0026388
AFAP1-AS1 C E 0.239488 0.153407 1
AFAP1L1 C E 4.87019 5.39976 0.446385
AFAP1L2 C E 0.0104608 0.00549786 1
AFF1 C E 10.6427 12.6798 0.088404
AFF2 C E 0.00481335 0.00735881 1
AFF3 C E 0.00271577 0.00441849 1
AFF4 C E 31.4996 35.3266 0.266489
AFG3L1P C E 3.38773 3.09044 0.732409
AFG3L2 C E 30.9196 33.7585 0.607963
AFM C E 0 0 1
AFMID C E 7.12043 5.15595 0.0565638
AFP C E 0.0596887 0.0316212 1
AFTPH C E 12.573 16.7298 0.00536227
AGA C E 10.052 15.0421 0.000259295
AGAP1 C E 5.52894 7.23316 0.00921977
AGAP1-IT1 C E 0.215596 0.467623 1
AGAP11 C E 0.2314 0.22789 1
AGAP2 C E 0.0180695 0.0535355 1
AGAP2-AS1 C E 23.6113 16.2046 0.000259295
AGAP3 C E 35.2226 29.0537 0.0782214
AGAP4 C E 1.32025 1.88571 0.0339312
AGAP5 C E 1.42945 1.87718 0.117875
AGAP6 C E 8.55776 9.44423 0.457667
AGAP7P C E 1.53906 1.68281 0.894479
AGAP9 C E 0.250555 0.183263 1
AGBL1 C E 0 0 1
AGBL1-AS1 C E 0 0 1
AGBL2 C E 0 0 1
AGBL3 C E 0.0421722 0.0391364 1
AGBL4 C E 0 0 1
AGBL4-IT1 C E 0 0 1
AGBL5 C E 33.9337 26.9568 0.107628
AGBL5-AS1 C E 0 0 1
AGER C E 0.015567 0.0166137 1
AGFG1 C E 14.5569 15.181 0.741568
AGFG2 C E 6.70362 4.29223 0.000259295
AGGF1 C E 15.2378 19.8122 0.00951476
AGK C E 16.767 18.5209 0.410473
AGL C E 4.89463 4.68939 0.764131
AGMAT C E 8.15825 5.25831 0.0326582
AGMO C E 0 0 1
AGO1 C E 12.9024 17.2692 0.00245749
AGO2 C E 22.4789 25.8313 0.198865
AGO3 C E 7.57547 9.03018 0.1339
AGO4 C E 2.60859 4.30041 0.000259295
AGPAT1 C E 3.80027 4.4783 0.282147
AGPAT2 C E 108.372 85.6741 0.0175549
AGPAT3 C E 16.119 20.9465 0.00785876
AGPAT4 C E 3.18192 1.8071 0.000259295
AGPAT4-IT1 C E 0.757375 0.319636 0.261763
AGPAT5 C E 8.86813 7.52 0.146226
AGPAT6 C E 20.0151 24.8884 0.0554532
AGPAT9 C E 12.5919 14.895 0.156363
AGPS C E 23.8591 21.1463 0.260936
AGR2 C E 0 0 1
AGR3 C E 0 0 1
AGRN C E 53.6434 55.1364 0.820837
AGRP C E 0 0.0359881 1
AGT C E 0.03305 0.0617818 1
AGTPBP1 C E 8.227 11.3845 0.00316968
AGTR1 C E 0 0 1
AGTR2 C E 0 0 1
AGTRAP C E 52.8859 40.301 0.0123822
AGXT C E 0 0 1
AGXT2 C E 0 0 1
AHCTF1 C E 18.5212 16.6887 0.339464
AHCTF1P1 C E 4.9736 4.47667 0.3871
AHCY C E 104.601 87.9339 0.0849863
AHCYL1 C E 61.6133 58.9268 0.710187
AHCYL2 C E 6.46179 11.465 0.000259295
AHDC1 C E 9.20191 6.05692 0.000259295
AHI1 C E 2.19266 2.88148 0.053191
AHNAK C E 138.373 87.0307 0.000259295
AHNAK2 C E 27.8125 27.1927 0.852722
AHR C E 17.5121 21.379 0.0499697
AHRR C E 5.10113 5.51426 0.820319
AHSA1 C E 142.855 97.7642 0.000259295
AHSA2 C E 8.65455 12.4887 0.239778
AHSG C E 0 0.0478609 1
AHSP C E 0 0 1
AICDA C E 0.0170903 0 1
AIDA C E 16.5066 22.996 0.00132463
AIF1 C E 0 0 1
AIF1L C E 4.92827 2.95878 0.000259295
AIFM1 C E 56.0532 46.8856 0.0840956
AIFM2 C E 35.7895 37.8793 0.638931
AIFM3 C E 0.352928 0.405174 1
AIG1 C E 15.1295 17.2025 0.364697
AIM1 C E 17.8998 3.68756 0.000259295
AIM1L C E 0.85087 0.021467 0.0999677
AIM2 C E 10.2999 3.1513 0.000259295
AIMP1 C E 19.0355 16.0746 0.194396
AIMP2 C E 81.8067 56.8459 0.158444
AIP C E 53.9031 39.3196 0.00281634
AIPL1 C E 0 0.0215502 1
AIRE C E 0.0397013 0.00901102 1
AIRN C E 0 0.00408696 1
AJAP1 C E 0 0 1
AJUBA C E 39.6907 28.2243 0.000489787
AK1 C E 23.3144 16.3565 0.000710791
AK2 C E 76.8884 57.3017 0.00171423
AK3 C E 10.9557 12.2831 0.342868
AK4 C E 13.1816 9.57635 0.00132463
AK5 C E 0.531823 0.333825 1
AK6 C E 24.2866 41.7802 0.107984
AK7 C E 0.0576743 0.161014 1
AK8 C E 0.0879918 0.0808496 1
AK9 C E 0.791106 1.26651 0.0144579
AKAP1 C E 22.6091 17.4861 0.0119637
AKAP10 C E 12.3835 13.3658 0.544805
AKAP11 C E 5.87594 6.50929 0.393335
AKAP12 C E 15.7673 14.3214 0.398668
AKAP13 C E 14.5561 15.9575 0.411734
AKAP14 C E 0 0 1
AKAP17A C E 0 0 1
AKAP2 C E 34.8309 22.9513 0.000259295
AKAP3 C E 0.196398 0.766914 0.000259295
AKAP4 C E 0 0 1
AKAP5 C E 1.4469 1.27539 0.905813
AKAP6 C E 0.253357 0.679671 0.000259295
AKAP7 C E 1.49014 2.06526 0.0319903
AKAP8 C E 12.6113 9.43399 0.00951476
AKAP8L C E 18.8128 18.2126 0.818509
AKAP9 C E 3.03559 4.11739 0.00503738
AKIP1 C E 68.2908 59.3975 0.218023
AKIRIN1 C E 57.3263 62.2414 0.459597
AKIRIN2 C E 30.6376 28.1348 0.498795
AKNA C E 2.30025 2.8163 0.10773
AKNAD1 C E 0.00815656 0 1
AKR1A1 C E 45.9566 38.2083 0.0959456
AKR1B1 C E 1649.82 686.926 0.000259295
AKR1B10 C E 3.27468 1.36521 0.000259295
AKR1B15 C E 1.02481 0.253651 0.00316968
AKR1C1 C E 297.364 75.0481 0.000259295
AKR1C2 C E 21.873 4.56193 0.000259295
AKR1C3 C E 297.452 96.7454 0.000259295
AKR1C4 C E 0 0 1
AKR1C6P C E 0 0 1
AKR1C8P C E 0.0116799 0 1
AKR1D1 C E 0.00801668 0 1
AKR1E2 C E 0 0 1
AKR7A2 C E 17.1685 21.6658 0.0342969
AKR7A2P1 C E 0.245388 0.181225 1
AKR7A3 C E 0.106395 0.259716 1
AKR7L C E 0.0823515 0.176271 1
AKT1 C E 51.1801 62.8547 0.0412607
AKT1S1 C E 57.9568 31.626 0.000259295
AKT2 C E 21.8732 14.8337 0.000259295
AKT3 C E 10.6453 12.9655 0.25851
AKTIP C E 3.30787 7.5619 0.00551744
ALAD C E 9.64751 13.4377 0.00245749
ALAS1 C E 50.6321 39.0008 0.00980601
ALAS2 C E 0 0 1
ALB C E 0 0.0104272 1
ALCAM C E 21.4456 17.2011 0.0363381
ALDH16A1 C E 18.0894 13.0078 0.00171423
ALDH18A1 C E 66.8526 62.6083 0.564058
ALDH1A1 C E 0.0275767 0 1
ALDH1A2 C E 0 0.0127095 1
ALDH1A3 C E 2.89629 2.10963 0.0203725
ALDH1B1 C E 21.2212 11.1182 0.000259295
ALDH1L1 C E 0 0 1
ALDH1L1-AS1 C E 0 0 1
ALDH1L1-AS2 C E 0 0.0100352 1
ALDH1L2 C E 3.33621 14.3185 0.000259295
ALDH2 C E 50.9661 65.6213 0.0111028
ALDH3A1 C E 27.2961 10.4585 0.000259295
ALDH3A2 C E 68.3183 72.0768 0.644868
ALDH3B1 C E 39.444 28.4691 0.00112625
ALDH3B2 C E 0.0194354 0.0260943 1
ALDH4A1 C E 2.56502 5.49037 0.000259295
ALDH5A1 C E 5.94194 12.0338 0.000259295
ALDH6A1 C E 3.71591 5.47557 0.00152207
ALDH7A1 C E 18.6707 17.1654 0.479555
ALDH8A1 C E 0.0184278 0.0158015 1
ALDH9A1 C E 44.3005 47.1532 0.598837
ALDOA C E 966.603 595.962 0.000259295
ALDOB C E 0 0 1
ALDOC C E 9.60292 6.39736 0.000920449
ALG1 C E 8.09004 8.13269 0.978055
ALG10 C E 5.62896 6.77967 0.137864
ALG10B C E 2.91058 3.50495 0.121185
ALG11 C E 5.11216 6.91337 0.151498
ALG12 C E 12.7269 12.3843 0.853113
ALG13 C E 3.94808 4.34029 0.523552
ALG14 C E 11.9711 8.30263 0.00709188
ALG1L C E 0 0 1
ALG1L2 C E 0 0 1
ALG1L9P C E 0.0938729 0.161973 1
ALG2 C E 22.0649 28.2878 0.0180897
ALG3 C E 50.4263 40.9603 0.0572911
ALG5 C E 14.121 14.9066 0.732141
ALG6 C E 3.86456 6.0356 0.000259295
ALG8 C E 39.6575 29.1544 0.0757096
